Artist,Streams,Daily,As lead,Solo,As feature
Drake,"85,041.3",50.775,"57,252.6","32,681.6","27,788.7"
Bad Bunny,"67,533.0",44.820,"40,969.6","23,073.0","26,563.4"
Taylor Swift,"57,859.0",85.793,"55,566.7","50,425.7","2,292.4"
The Weeknd,"53,665.2",44.437,"42,673.3","31,164.2","10,991.9"
Ed Sheeran,"47,907.7",17.506,"42,767.9","33,917.0","5,139.8"
Justin Bieber,"47,525.7",18.868,"27,988.0","17,183.9","19,537.7"
Eminem,"42,029.0",20.175,"35,475.8","21,576.7","6,553.2"
Ariana Grande,"40,111.0",17.158,"33,219.8","23,307.3","6,891.2"
J Balvin,"38,774.8",11.784,"17,450.7","5,699.8","21,324.2"
Post Malone,"38,002.7",21.095,"34,494.0","18,943.9","3,508.6"
Kanye West,"37,667.2",24.157,"27,205.7","18,032.3","10,461.6"
Travis Scott,"37,489.0",38.359,"18,839.2","14,960.2","18,649.7"
BTS,"35,778.0",14.960,"32,041.3","28,991.6","3,736.7"
Rihanna,"35,501.8",20.778,"25,380.1","16,736.0","10,121.7"
Ozuna,"33,315.0",13.737,"13,957.5","6,226.7","19,357.5"
Juice WRLD,"32,332.5",13.410,"23,613.9","18,277.1","8,718.6"
Future,"31,001.7",20.513,"15,374.1","7,299.6","15,627.6"
Nicki Minaj,"30,759.8",16.361,"10,631.1","6,013.9","20,128.7"
Kendrick Lamar,"29,836.5",16.652,"20,052.2","12,208.1","9,784.3"
Billie Eilish,"29,173.3",19.313,"29,173.3","25,240.5",
XXXTENTACION,"28,370.7",11.181,"24,681.3","20,244.5","3,689.4"
Chris Brown,"28,314.1",12.788,"14,904.7","7,064.1","13,409.3"
Imagine Dragons,"28,100.5",16.133,"26,430.9","22,543.8","1,669.6"
Khalid,"27,776.0",8.833,"14,779.4","9,759.3","12,996.6"
Coldplay,"27,526.1",14.860,"25,154.3","22,329.9","2,371.8"
Bruno Mars,"27,465.0",19.063,"20,901.5","17,207.5","6,563.5"
